chrom	length.x	bases.x	mean.x	min.x	max.x	length.y	bases.y	mean.y	min.y	max.y	fmnorm
100014	1181	19426	16.45	0	33	1181	54196	45.89	0	73	1.12723226835042
102954	1511	14117	9.34	0	31	1511	38636	25.57	0	60	1.10009775109273
110089	1180	290	0.25	0	2	1180	30327	25.7	0	36	6.33083649986726
110134	1034	98	0.09	0	2	1034	32597	31.53	0	49	8.09972449880177
110173	1211	121	0.1	0	6	1211	47743	39.42	0	63	8.26992401171687
111904	1023	4279	4.18	0	41	1023	33571	32.82	0	109	2.62014043699358
11265	1601	11264	7.04	0	43	1601	51508	32.17	0	49	1.83920864757619
113551	1005	700	0.7	0	32	1005	2359	2.35	0	94	1.39437397518078
115136	1049	2223	2.12	0	28	1049	32200	30.7	0	54	3.50324253125509
115881	1110	6527	5.88	0	39	1110	35914	32.35	0	57	2.10701769760425
116162	1017	419	0.41	0	3	1017	39802	39.14	0	132	6.22401608156947
116278	1343	6633	4.94	0	40	1343	45898	34.18	0	65	2.43770949565221
116290	1038	5612	5.41	0	61	1038	29347	28.27	0	74	2.03271142956511
117223	1244	2765	2.22	0	6	1244	30914	24.85	0	46	3.13175431566029
11734	1129	7815	6.92	0	47	1129	52753	46.73	0	115	2.40264513978882
118426	1018	11558	11.35	0	48	1018	33149	32.56	0	89	1.16754844764872
11852	1508	16716	11.08	0	64	1508	66721	44.24	0	117	1.64453354974627
119444	1123	1447	1.29	0	5	1123	26550	23.64	0	37	3.84292711031503
12009	3762	464	0.12	0	4	3762	126255	33.56	0	54	7.77470454527941
120153	1245	7098	5.7	0	19	1245	35804	28.76	0	45	1.98216989694794
120990	1279	239	0.19	0	2	1279	26990	21.1	0	38	6.44223981571171
121303	1131	3365	2.98	0	12	1131	55435	49.01	0	74	3.68683195650834
121862	1172	21402	18.26	0	59	1172	60586	51.69	0	87	1.14833848252263
122136	1145	2180	1.9	0	12	1145	23810	20.79	0	46	3.09895848008817
122267	1044	2040	1.95	0	15	1044	27381	26.23	0	49	3.39681182407612
122532	1148	4374	3.81	0	24	1148	33818	29.46	0	50	2.59803457310327
123006	1156	260	0.22	0	4	1156	14603	12.63	0	22	5.490347350711
123038	1101	13853	12.58	0	47	1101	46415	42.16	0	59	1.39188299031867
123390	1175	7979	6.79	0	44	1175	47483	40.41	0	98	2.22036891749947
123527	1117	1596	1.43	0	7	1117	34389	30.79	0	49	4.07551486082717
123564	1303	7678	5.89	0	34	1303	39304	30.16	0	53	2.00343693499895
123579	1034	12727	12.31	0	44	1034	33337	32.24	0	76	1.03616102760426
123607	2387	35281	14.78	0	90	2387	125147	52.43	0	159	1.47388632193095
123659	1011	16783	16.6	0	36	1011	68002	67.26	0	108	1.66570558285304
123762	1506	2197	1.46	0	15	1506	36874	24.48	0	52	3.71470332937338
123837	1105	2558	2.31	0	20	1105	39727	35.95	0	81	3.60716705947135
124264	1030	20326	19.73	0	52	1030	53339	51.79	0	98	1.03942264796804
124430	1037	4564	4.4	0	14	1037	32469	31.31	0	73	2.47818812517476
124538	1570	3181	2.03	0	12	1570	68668	43.74	0	102	4.07654163342366
124675	1085	6116	5.64	0	23	1085	29812	27.48	0	50	1.93175498198005
124843	1079	14148	13.11	0	72	1079	40048	37.12	0	94	1.14866907046656
124911	1278	593	0.46	0	7	1278	54841	42.91	0	122	6.19067627525212
125084	1619	1020	0.63	0	10	1619	53234	32.88	0	117	5.35285470574251
125205	1034	3598	3.48	0	19	1034	27723	26.81	0	48	2.59275205369458
125333	1034	1047	1.01	0	4	1034	23933	23.15	0	41	4.16572504095655
125469	1281	1201	0.94	0	6	1281	42218	32.96	0	70	4.77905172106633
125539	1418	52994	37.37	0	173	1418	159357	112.38	0	464	1.2355728821442
125747	1118	7946	7.11	0	42	1118	51261	45.85	0	92	2.33614031442375
125781	1151	7678	6.67	0	31	1151	54057	46.97	0	134	2.46312097263395
125795	1452	3490	2.4	0	16	1452	45731	31.5	0	58	3.36138556322687
125811	1196	251	0.21	0	2	1196	200866	167.95	0	300	9.29056679790385
126138	1021	13689	13.41	0	43	1021	40484	39.65	0	101	1.21115167424761
126363	1651	4399	2.66	0	26	1651	62736	38	0	96	3.48364131327787
126431	1021	12585	12.33	0	84	1021	86379	84.6	0	201	2.42562490916522
126524	1445	3023	2.09	0	12	1445	64435	44.59	0	78	4.06228539779377
126666	1087	6615	6.09	0	20	1087	39350	36.2	0	70	2.21861560962498
126692	1022	4387	4.29	0	17	1022	19423	19	0	78	1.79408991127951
126782	1030	36346	35.29	0	61	1030	121306	117.77	0	217	1.38578079310405
126890	1275	3758	2.95	0	25	1275	35518	27.86	0	69	2.8865484439128
127036	1278	72223	56.51	0	211	1278	215722	168.8	0	504	1.22587685530453
127159	1190	4133	3.47	0	16	1190	44899	37.73	0	79	3.0898445777926
127250	1466	11468	7.82	0	26	1466	62000	42.29	0	87	2.0822160932822
127273	1015	5305	5.23	0	30	1015	36278	35.74	0	57	2.4197968283553
127461	1087	1530	1.41	0	6	1087	51939	47.78	0	108	4.72977983161829
127496	1228	14098	11.48	0	57	1228	70694	57.57	0	214	1.9733346158016
127719	1060	817	0.77	0	3	1060	45217	42.66	0	84	5.43902175520642
127770	1138	88656	77.91	0	189	1138	270764	237.93	0	460	1.25779681476046
127960	1217	32138	26.41	0	91	1217	118161	97.09	0	196	1.52537845377486
128095	1027	620	0.6	0	4	1027	201081	195.79	0	632	7.99726891048602
128179	1267	1607	1.27	0	9	1267	35560	28.07	0	40	4.11326870730111
